import time: self [us] | cumulative | imported package
import time:     54774 |      54774 |         aiogram.types.reaction_type_custom_emoji
import time:     73491 |      73491 |         aiogram.types.reaction_type_emoji
import time:     72212 |      72212 |         aiogram.types.reaction_type_paid
import time:     55892 |      55892 |         aiogram.types.reaction_type_union
import time:     74562 |      74562 |         aiogram.types.refunded_payment
import time:    104632 |     104632 |         aiogram.types.reply_keyboard_markup
import time:     49388 |      49388 |         aiogram.types.reply_keyboard_remove
import time:    100674 |     100674 |         aiogram.types.reply_markup_union
import time:    104700 |     104700 |         aiogram.types.response_parameters
import time:    120018 |     120018 |         aiogram.types.result_chat_member_union
import time:     96876 |      96876 |         aiogram.types.result_menu_button_union
import time:    138993 |     138993 |         aiogram.types.revenue_withdrawal_state
import time:    106620 |     106620 |         aiogram.types.revenue_withdrawal_state_failed
import time:    213842 |     213842 |         aiogram.types.revenue_withdrawal_state_pending
import time:     74437 |      74437 |         aiogram.types.revenue_withdrawal_state_succeeded
import time:     77429 |      77429 |         aiogram.types.revenue_withdrawal_state_union
import time:    145601 |     145601 |         aiogram.types.sent_web_app_message
import time:    170240 |     170240 |         aiogram.types.shared_user
import time:     72639 |      72639 |         aiogram.types.shipping_address
import time:    161903 |     161903 |         aiogram.types.shipping_option
import time:     89222 |      89222 |         aiogram.types.shipping_query
import time:     74324 |      74324 |         aiogram.types.star_amount
import time:     98362 |      98362 |         aiogram.types.star_transaction
import time:     88515 |      88515 |         aiogram.types.star_transactions
import time:    112427 |     112427 |         aiogram.types.sticker
import time:     71037 |      71037 |         aiogram.types.sticker_set
import time:     99365 |      99365 |         aiogram.types.story
import time:     94343 |      94343 |         aiogram.types.story_area
import time:     59711 |      59711 |         aiogram.types.story_area_position
import time:     44692 |      44692 |         aiogram.types.story_area_type
import time:     45607 |      45607 |         aiogram.types.story_area_type_link
import time:     25172 |      25172 |         aiogram.types.story_area_type_location
import time:     68505 |      68505 |         aiogram.types.story_area_type_suggested_reaction
import time:    106072 |     106072 |           aiogram.types.story_area_type_unique_gift
import time:     46079 |      46079 |           aiogram.types.story_area_type_weather
import time:     85619 |     237768 |         aiogram.types.story_area_type_union
import time:     76126 |      76126 |         aiogram.types.successful_payment
import time:     57368 |      57368 |         aiogram.types.suggested_post_approval_failed
import time:     76897 |      76897 |         aiogram.types.suggested_post_approved
import time:    117211 |     117211 |         aiogram.types.suggested_post_declined
import time:     54688 |      54688 |         aiogram.types.suggested_post_info
import time:     56802 |      56802 |         aiogram.types.suggested_post_paid
import time:     41414 |      41414 |         aiogram.types.suggested_post_parameters
import time:     48121 |      48121 |         aiogram.types.suggested_post_price
import time:     45633 |      45633 |         aiogram.types.suggested_post_refunded
import time:     67901 |      67901 |         aiogram.types.switch_inline_query_chosen_chat
import time:     55995 |      55995 |         aiogram.types.text_quote
import time:    106905 |     106905 |         aiogram.types.transaction_partner
import time:     88592 |      88592 |         aiogram.types.transaction_partner_affiliate_program
import time:    138142 |     138142 |         aiogram.types.transaction_partner_chat
import time:     63426 |      63426 |         aiogram.types.transaction_partner_fragment
import time:     54146 |      54146 |         aiogram.types.transaction_partner_other
import time:     78612 |      78612 |         aiogram.types.transaction_partner_telegram_ads
import time:     61955 |      61955 |         aiogram.types.transaction_partner_telegram_api
import time:     88585 |      88585 |           aiogram.types.transaction_partner_user
import time:    106245 |     194829 |         aiogram.types.transaction_partner_union
import time:    125286 |     125286 |         aiogram.types.unique_gift
import time:     71181 |      71181 |         aiogram.types.unique_gift_backdrop
import time:    101579 |     101579 |         aiogram.types.unique_gift_backdrop_colors
import time:    111614 |     111614 |         aiogram.types.unique_gift_info
import time:    125234 |     125234 |         aiogram.types.unique_gift_model
import time:     76928 |      76928 |         aiogram.types.unique_gift_symbol
import time:    159337 |     159337 |           aiogram.utils.mypy_hacks
import time:     85945 |     245282 |         aiogram.types.update
import time:     92186 |      92186 |           aiogram.utils.markdown
import time:     69462 |      69462 |           aiogram.utils.link
import time:     75851 |     237498 |         aiogram.types.user
import time:     86013 |      86013 |         aiogram.types.user_chat_boosts
import time:     63249 |      63249 |         aiogram.types.user_profile_photos
import time:    178660 |     178660 |         aiogram.types.user_shared
import time:     78012 |      78012 |         aiogram.types.users_shared
import time:    100859 |     100859 |         aiogram.types.venue
import time:     57509 |      57509 |         aiogram.types.video
import time:     59126 |      59126 |         aiogram.types.video_chat_ended
import time:     68314 |      68314 |         aiogram.types.video_chat_participants_invited
import time:     55675 |      55675 |         aiogram.types.video_chat_scheduled
import time:     76851 |      76851 |         aiogram.types.video_chat_started
import time:    111282 |     111282 |         aiogram.types.video_note
import time:    126855 |     126855 |         aiogram.types.voice
import time:    131451 |     131451 |         aiogram.types.web_app_data
import time:    123215 |     123215 |         aiogram.types.web_app_info
import time:     82868 |      82868 |         aiogram.types.webhook_info
import time:    101345 |     101345 |         aiogram.types.write_access_allowed
import time:   1613763 |   40247180 |       aiogram.types
import time:    145117 |     145117 |       aiogram.methods.base
import time:    170141 |   40566794 |     aiogram.methods.add_sticker_to_set
import time:    109915 |     109915 |     aiogram.methods.answer_callback_query
import time:    181425 |     181425 |     aiogram.methods.answer_inline_query
import time:    172859 |     172859 |     aiogram.methods.answer_pre_checkout_query
import time:    114499 |     114499 |     aiogram.methods.answer_shipping_query
import time:    107394 |     107394 |     aiogram.methods.answer_web_app_query
import time:    132564 |     132564 |     aiogram.methods.approve_chat_join_request
import time:    178403 |     178403 |     aiogram.methods.approve_suggested_post
import time:    147387 |     147387 |     aiogram.methods.ban_chat_member
import time:    107947 |     107947 |     aiogram.methods.ban_chat_sender_chat
import time:    132181 |     132181 |     aiogram.methods.close
import time:    138618 |     138618 |     aiogram.methods.close_forum_topic
import time:    113446 |     113446 |     aiogram.methods.close_general_forum_topic
import time:    112666 |     112666 |     aiogram.methods.convert_gift_to_stars
import time:    109321 |     109321 |     aiogram.methods.copy_message
import time:    125672 |     125672 |     aiogram.methods.copy_messages
import time:    100783 |     100783 |     aiogram.methods.create_chat_invite_link
import time:     70313 |      70313 |     aiogram.methods.create_chat_subscription_invite_link
import time:     85820 |      85820 |     aiogram.methods.create_forum_topic
import time:    106930 |     106930 |     aiogram.methods.create_invoice_link
import time:    122582 |     122582 |     aiogram.methods.create_new_sticker_set
import time:     95236 |      95236 |     aiogram.methods.decline_chat_join_request
import time:    101093 |     101093 |     aiogram.methods.decline_suggested_post
import time:    145299 |     145299 |     aiogram.methods.delete_business_messages
import time:     68412 |      68412 |     aiogram.methods.delete_chat_photo
import time:     70795 |      70795 |     aiogram.methods.delete_chat_sticker_set
import time:     80473 |      80473 |     aiogram.methods.delete_forum_topic
import time:     97881 |      97881 |     aiogram.methods.delete_message
import time:    244941 |     244941 |     aiogram.methods.delete_messages
import time:     93916 |      93916 |     aiogram.methods.delete_my_commands
import time:     89286 |      89286 |     aiogram.methods.delete_sticker_from_set
import time:    120863 |     120863 |     aiogram.methods.delete_sticker_set
import time:     66147 |      66147 |     aiogram.methods.delete_story
import time:    152539 |     152539 |     aiogram.methods.delete_webhook
import time:    219606 |     219606 |     aiogram.methods.edit_chat_invite_link
import time:     84035 |      84035 |     aiogram.methods.edit_chat_subscription_invite_link
import time:    100846 |     100846 |     aiogram.methods.edit_forum_topic
import time:    151093 |     151093 |     aiogram.methods.edit_general_forum_topic
import time:     77927 |      77927 |     aiogram.methods.edit_message_caption
import time:    114264 |     114264 |     aiogram.methods.edit_message_checklist
import time:     82847 |      82847 |     aiogram.methods.edit_message_live_location
import time:     76239 |      76239 |     aiogram.methods.edit_message_media
import time:     84122 |      84122 |     aiogram.methods.edit_message_reply_markup
import time:     64414 |      64414 |     aiogram.methods.edit_message_text
import time:    106514 |     106514 |     aiogram.methods.edit_story
import time:    104190 |     104190 |     aiogram.methods.edit_user_star_subscription
import time:    128418 |     128418 |     aiogram.methods.export_chat_invite_link
import time:    123770 |     123770 |     aiogram.methods.forward_message
import time:    143629 |     143629 |     aiogram.methods.forward_messages
import time:     86660 |      86660 |     aiogram.methods.get_available_gifts
import time:    117800 |     117800 |     aiogram.methods.get_business_account_gifts
import time:    100477 |     100477 |     aiogram.methods.get_business_account_star_balance
import time:     60894 |      60894 |     aiogram.methods.get_business_connection
import time:     60914 |      60914 |     aiogram.methods.get_chat
import time:     80097 |      80097 |     aiogram.methods.get_chat_administrators
import time:     90758 |      90758 |     aiogram.methods.get_chat_member
import time:    117123 |     117123 |     aiogram.methods.get_chat_member_count
import time:     45466 |      45466 |     aiogram.methods.get_chat_menu_button
import time:     77736 |      77736 |     aiogram.methods.get_custom_emoji_stickers
import time:     56642 |      56642 |     aiogram.methods.get_file
import time:     50783 |      50783 |     aiogram.methods.get_forum_topic_icon_stickers
import time:     38536 |      38536 |     aiogram.methods.get_game_high_scores
import time:     72270 |      72270 |     aiogram.methods.get_me
import time:     95640 |      95640 |     aiogram.methods.get_my_commands
import time:     92591 |      92591 |     aiogram.methods.get_my_default_administrator_rights
import time:     97511 |      97511 |     aiogram.methods.get_my_description
import time:     73850 |      73850 |     aiogram.methods.get_my_name
import time:     82660 |      82660 |     aiogram.methods.get_my_short_description
import time:     39384 |      39384 |     aiogram.methods.get_my_star_balance
import time:     85395 |      85395 |     aiogram.methods.get_star_transactions
import time:     69444 |      69444 |     aiogram.methods.get_sticker_set
import time:     58055 |      58055 |     aiogram.methods.get_updates
import time:     75918 |      75918 |     aiogram.methods.get_user_chat_boosts
import time:     85516 |      85516 |     aiogram.methods.get_user_profile_photos
import time:     76914 |      76914 |     aiogram.methods.get_webhook_info
import time:    102300 |     102300 |     aiogram.methods.gift_premium_subscription
import time:     65530 |      65530 |     aiogram.methods.hide_general_forum_topic
import time:     36875 |      36875 |     aiogram.methods.leave_chat
import time:     69806 |      69806 |     aiogram.methods.log_out
import time:    114968 |     114968 |     aiogram.methods.pin_chat_message
import time:    133937 |     133937 |     aiogram.methods.post_story
import time:     99395 |      99395 |     aiogram.methods.promote_chat_member
import time:    140030 |     140030 |     aiogram.methods.read_business_message
import time:    138969 |     138969 |     aiogram.methods.refund_star_payment
import time:     89200 |      89200 |     aiogram.methods.remove_business_account_profile_photo
import time:     90141 |      90141 |     aiogram.methods.remove_chat_verification
import time:    124164 |     124164 |     aiogram.methods.remove_user_verification
import time:    185315 |     185315 |     aiogram.methods.reopen_forum_topic
import time:     58159 |      58159 |     aiogram.methods.reopen_general_forum_topic
import time:     93769 |      93769 |     aiogram.methods.replace_sticker_in_set
import time:     86612 |      86612 |     aiogram.methods.restrict_chat_member
import time:     44823 |      44823 |     aiogram.methods.revoke_chat_invite_link
import time:    143515 |     143515 |     aiogram.methods.save_prepared_inline_message
import time:    132546 |     132546 |     aiogram.methods.send_animation
import time:    114414 |     114414 |     aiogram.methods.send_audio
import time:     95192 |      95192 |     aiogram.methods.send_chat_action
import time:     92644 |      92644 |     aiogram.methods.send_checklist
import time:    128341 |     128341 |     aiogram.methods.send_contact
import time:    101715 |     101715 |     aiogram.methods.send_dice
import time:    158510 |     158510 |     aiogram.methods.send_document
import time:    201591 |     201591 |     aiogram.methods.send_game
import time:    164370 |     164370 |     aiogram.methods.send_gift
import time:    141475 |     141475 |     aiogram.methods.send_invoice
import time:    180737 |     180737 |     aiogram.methods.send_location
import time:     98946 |      98946 |     aiogram.methods.send_media_group
import time:     55719 |      55719 |     aiogram.methods.send_message
import time:     82071 |      82071 |     aiogram.methods.send_paid_media
import time:     78808 |      78808 |     aiogram.methods.send_photo
import time:    139947 |     139947 |     aiogram.methods.send_poll
import time:     71982 |      71982 |     aiogram.methods.send_sticker
import time:     86283 |      86283 |     aiogram.methods.send_venue
import time:     69481 |      69481 |     aiogram.methods.send_video
import time:    123393 |     123393 |     aiogram.methods.send_video_note
import time:    108508 |     108508 |     aiogram.methods.send_voice
import time:    112045 |     112045 |     aiogram.methods.set_business_account_bio
import time:    126519 |     126519 |     aiogram.methods.set_business_account_gift_settings
import time:    127956 |     127956 |     aiogram.methods.set_business_account_name
import time:    166003 |     166003 |     aiogram.methods.set_business_account_profile_photo
import time:    105209 |     105209 |     aiogram.methods.set_business_account_username
import time:    104808 |     104808 |     aiogram.methods.set_chat_administrator_custom_title
import time:    129944 |     129944 |     aiogram.methods.set_chat_description
import time:    118549 |     118549 |     aiogram.methods.set_chat_menu_button
import time:    177881 |     177881 |     aiogram.methods.set_chat_permissions
import time:     51932 |      51932 |     aiogram.methods.set_chat_photo
import time:     98044 |      98044 |     aiogram.methods.set_chat_sticker_set
import time:    107110 |     107110 |     aiogram.methods.set_chat_title
import time:     72003 |      72003 |     aiogram.methods.set_custom_emoji_sticker_set_thumbnail
import time:     96877 |      96877 |     aiogram.methods.set_game_score
import time:     91919 |      91919 |     aiogram.methods.set_message_reaction
import time:    117692 |     117692 |     aiogram.methods.set_my_commands
import time:    132302 |     132302 |     aiogram.methods.set_my_default_administrator_rights
import time:     71372 |      71372 |     aiogram.methods.set_my_description
import time:     97351 |      97351 |     aiogram.methods.set_my_name
import time:     81564 |      81564 |     aiogram.methods.set_my_short_description
import time:     68719 |      68719 |     aiogram.methods.set_passport_data_errors
import time:     97796 |      97796 |     aiogram.methods.set_sticker_emoji_list
import time:     66804 |      66804 |     aiogram.methods.set_sticker_keywords
import time:     68729 |      68729 |     aiogram.methods.set_sticker_mask_position
import time:     55397 |      55397 |     aiogram.methods.set_sticker_position_in_set
import time:     93335 |      93335 |     aiogram.methods.set_sticker_set_thumbnail
import time:    124874 |     124874 |     aiogram.methods.set_sticker_set_title
import time:     93901 |      93901 |     aiogram.methods.set_user_emoji_status
import time:    107778 |     107778 |     aiogram.methods.set_webhook
import time:     60469 |      60469 |     aiogram.methods.stop_message_live_location
import time:    114524 |     114524 |     aiogram.methods.stop_poll
import time:     50602 |      50602 |     aiogram.methods.transfer_business_account_stars
import time:     46505 |      46505 |     aiogram.methods.transfer_gift
import time:     83401 |      83401 |     aiogram.methods.unban_chat_member
import time:     92793 |      92793 |     aiogram.methods.unban_chat_sender_chat
import time:     48631 |      48631 |     aiogram.methods.unhide_general_forum_topic
import time:     62428 |      62428 |     aiogram.methods.unpin_all_chat_messages
import time:    106667 |     106667 |     aiogram.methods.unpin_all_forum_topic_messages
import time:     79296 |      79296 |     aiogram.methods.unpin_all_general_forum_topic_messages
import time:     67531 |      67531 |     aiogram.methods.unpin_chat_message
import time:     52759 |      52759 |     aiogram.methods.upgrade_gift
import time:     60759 |      60759 |     aiogram.methods.upload_sticker_file
import time:     48749 |      48749 |     aiogram.methods.verify_chat
import time:     63636 |      63636 |     aiogram.methods.verify_user
import time:    123723 |   56486342 |   aiogram.methods
import time:     75713 |      75713 |   aiogram.__meta__
import time:    139028 |     139028 |   aiogram.client.session
import time:    105934 |     105934 |     aiogram.utils.token
import time:     85674 |      85674 |         certifi.core
import time:    271921 |     357594 |       certifi
import time:    106715 |     106715 |             multidict._abc
import time:     10909 |      10909 |                 _wmi
import time:     23130 |      34038 |               platform
import time:    109649 |     109649 |               multidict._multidict
import time:     37310 |     180997 |             multidict._compat
import time:    151881 |     439591 |           multidict
import time:     77959 |     517550 |         aiohttp.hdrs
import time:     12615 |      12615 |             _hashlib
import time:        55 |         55 |             _blake2
import time:      4410 |      17079 |           hashlib
import time:        44 |         44 |                 _json
import time:       383 |        427 |               json.scanner
import time:       538 |        964 |             json.decoder
import time:       435 |        435 |             json.encoder
import time:      9209 |      10606 |           json
import time:     92515 |      92515 |               attr._compat
import time:     15506 |      15506 |                 unicodedata
import time:    111065 |     111065 |                 attr._config
import time:    127593 |     127593 |                   attr.exceptions
import time:    103264 |     230856 |                 attr.setters
import time:    114808 |     472234 |               attr._make
import time:     83656 |     648405 |             attr.converters
import time:    105618 |     105618 |             attr.filters
import time:     65753 |      65753 |             attr.validators
import time:     54048 |      54048 |             attr._cmp
import time:     77386 |      77386 |             attr._funcs
import time:     60747 |      60747 |             attr._next_gen
import time:     65997 |      65997 |             attr._version_info
import time:     80818 |    1158770 |           attr
import time:     62350 |      62350 |                   yarl._quoting_c
import time:     66568 |     128918 |                 yarl._quoting
import time:     64712 |     193629 |               yarl._quoters
import time:     71263 |     264892 |             yarl._query
import time:     75144 |      75144 |                   idna.idnadata
import time:     67242 |      67242 |                   idna.intranges
import time:    153156 |     295541 |                 idna.core
import time:     38819 |      38819 |                 idna.package_data
import time:    228931 |     563291 |               idna
import time:    149082 |     149082 |                 propcache
import time:     49289 |      49289 |                   propcache._helpers_c
import time:    105426 |     154714 |                 propcache._helpers
import time:    182442 |     486237 |               propcache.api
import time:    107492 |     107492 |               yarl._parse
import time:    183995 |     183995 |               yarl._path
import time:    153824 |    1494837 |             yarl._url
import time:    240776 |    2000505 |           yarl
import time:     44766 |      44766 |             http
import time:    136488 |     136488 |               aiohttp.typedefs
import time:    133213 |     269701 |             aiohttp.http_exceptions
import time:     65583 |      65583 |                 aiohttp.client_exceptions
import time:      4018 |       4018 |                   netrc
import time:       583 |        583 |                     email.feedparser
import time:       294 |        876 |                   email.parser
import time:      1045 |       1045 |                     http.client
import time:       212 |        212 |                       urllib.response
import time:       236 |        448 |                     urllib.error
import time:     12188 |      12188 |                     nturl2path
import time:      1191 |      14872 |                   urllib.request
import time:     96676 |      96676 |                   aiohttp.log
import time:    299866 |     416306 |                 aiohttp.helpers
import time:    129627 |     129627 |                 aiohttp.tcp_helpers
import time:    142112 |     753626 |               aiohttp.base_protocol
import time:     42593 |      42593 |                 brotlicffi
import time:     31819 |      31819 |                 brotli
import time:     73524 |     147936 |               aiohttp.compression_utils
import time:       970 |        970 |                   http.cookies
import time:     98801 |      98801 |                   aiohttp._cookie_helpers
import time:    148496 |     248266 |                 aiohttp.abc
import time:    104460 |     104460 |                 aiohttp._http_writer
import time:    102062 |     454788 |               aiohttp.http_writer
import time:    115957 |     115957 |               aiohttp.streams
import time:    164871 |     164871 |               aiohttp._http_parser
import time:     95000 |    1732176 |             aiohttp.http_parser
import time:    143853 |     143853 |                 aiohttp._websocket
import time:     75919 |      75919 |                 aiohttp._websocket.models
import time:    102390 |     102390 |                 aiohttp._websocket.mask
import time:    189104 |     511265 |               aiohttp._websocket.helpers
import time:    101719 |     101719 |                 aiohttp._websocket.reader_c
import time:     89765 |     191484 |               aiohttp._websocket.reader
import time:    102764 |     102764 |               aiohttp._websocket.writer
import time:    114867 |     920378 |             aiohttp.http_websocket
import time:    135773 |    3102793 |           aiohttp.http
import time:      9266 |       9266 |             mimetypes
import time:    124696 |     133961 |           aiohttp.payload
import time:     99185 |      99185 |               aiohttp.multipart
import time:    113891 |     113891 |               aiohttp.formdata
import time:     91791 |     304866 |             aiohttp.client_reqrep
import time:     92374 |     397240 |           aiohttp.client_middlewares
import time:    180582 |     180582 |           aiohttp.client_ws
import time:     59151 |      59151 |                 aiohappyeyeballs._staggered
import time:    121986 |     121986 |                 aiohappyeyeballs.types
import time:    186839 |     367975 |               aiohappyeyeballs.impl
import time:     56239 |      56239 |               aiohappyeyeballs.utils
import time:    193584 |     617798 |             aiohappyeyeballs
import time:     64786 |      64786 |             aiohttp.client_proto
import time:     40067 |      40067 |               aiodns
import time:    269481 |     309547 |             aiohttp.resolver
import time:    140126 |    1132255 |           aiohttp.connector
import time:     21632 |      21632 |               _compat_pickle
import time:       206 |        206 |               _pickle
import time:     12059 |      33896 |             pickle
import time:    150196 |     184091 |           aiohttp.cookiejar
import time:    134098 |     134098 |                 frozenlist._frozenlist
import time:    139410 |     273508 |               frozenlist
import time:    109120 |     382627 |             aiosignal
import time:    116508 |     499135 |           aiohttp.tracing
import time:    120408 |    8937421 |         aiohttp.client
import time:    114440 |     114440 |         aiohttp.client_middleware_digest_auth
import time:     91365 |      91365 |         aiohttp.payload_streamer
import time:    166204 |    9826979 |       aiohttp
import time:    177527 |     177527 |       aiogram.exceptions
import time:     12246 |      12246 |           hmac
import time:      3480 |      15726 |         secrets
import time:     54613 |      54613 |         aiogram.client.telegram
import time:    195678 |     195678 |           aiogram.client.session.middlewares
import time:    112476 |     112476 |           aiogram.client.session.middlewares.base
import time:    340718 |     648871 |         aiogram.client.session.middlewares.manager
import time:    191136 |     910344 |       aiogram.client.session.base
import time:    136952 |   11409394 |     aiogram.client.session.aiohttp
import time:     70835 |   11586163 |   aiogram.client.bot
import time:    111074 |     111074 |     aiogram.loggers
import time:    209875 |     209875 |       aiogram.fsm
import time:    191321 |     191321 |         aiogram.dispatcher.middlewares
import time:    192989 |     384309 |       aiogram.dispatcher.middlewares.base
import time:     75494 |      75494 |       aiogram.dispatcher.middlewares.user_context
import time:    114905 |     114905 |           aiogram.fsm.storage
import time:    125200 |     125200 |           aiogram.fsm.state
import time:    210680 |     450785 |         aiogram.fsm.storage.base
import time:    134154 |     584939 |       aiogram.fsm.context
import time:    107242 |     107242 |       aiogram.fsm.strategy
import time:    184162 |    1546019 |     aiogram.fsm.middleware
import time:     54533 |      54533 |     aiogram.fsm.storage.memory
import time:    111981 |     111981 |     aiogram.utils.backoff
import time:    168068 |     168068 |       aiogram.dispatcher.event
import time:    143972 |     312039 |     aiogram.dispatcher.event.bases
import time:     98656 |      98656 |               aiogram.filters.base
import time:     61777 |      61777 |               aiogram.filters.chat_member_updated
import time:     90945 |      90945 |                   aiogram.utils.payload
import time:    111155 |     202099 |                 aiogram.utils.deep_linking
import time:     65701 |     267800 |               aiogram.filters.command
import time:    179521 |     179521 |               aiogram.filters.exception
import time:    100995 |     100995 |               aiogram.filters.logic
import time:     69217 |      69217 |               aiogram.filters.magic_data
import time:     88575 |      88575 |               aiogram.filters.state
import time:    208074 |    1074612 |             aiogram.filters
import time:        50 |    1074662 |           aiogram.filters.base
import time:    143907 |     143907 |             aiogram.handlers.base
import time:    153678 |     153678 |             aiogram.handlers.callback_query
import time:    122858 |     122858 |             aiogram.handlers.chat_member
import time:     82353 |      82353 |             aiogram.handlers.chosen_inline_result
import time:     86900 |      86900 |             aiogram.handlers.error
import time:     78001 |      78001 |             aiogram.handlers.inline_query
import time:     91781 |      91781 |             aiogram.handlers.message
import time:     56081 |      56081 |             aiogram.handlers.poll
import time:    123157 |     123157 |             aiogram.handlers.pre_checkout_query
import time:     97483 |      97483 |             aiogram.handlers.shipping_query
import time:    174041 |    1210236 |           aiogram.handlers
import time:    230810 |     230810 |           aiogram.utils.magic_filter
import time:    123068 |     123068 |           aiogram.utils.warnings
import time:     93517 |    2732291 |         aiogram.dispatcher.event.handler
import time:     91605 |    2823896 |       aiogram.dispatcher.middlewares.manager
import time:    145072 |    2968967 |     aiogram.dispatcher.event.telegram
import time:    118516 |     118516 |     aiogram.dispatcher.middlewares.error
import time:    115306 |     115306 |       aiogram.dispatcher.event.event
import time:    157778 |     273083 |     aiogram.dispatcher.router
import time:    100245 |    5596453 |   aiogram.dispatcher.dispatcher
import time:     85379 |      85379 |   uvloop
import time:    191711 |   79637392 | aiogram
